"","area_fips","own_code","year","annual_avg_estabs","annual_avg_emplvl","total_annual_wages"
"1",13000,0,2015,288777,4151011,205685349321
"2",13000,1,2015,2068,98853,7239004941
"3",13000,2,2015,2678,141177,6253800317
"4",13000,3,2015,3996,397584,15700367840
"5",13000,5,2015,280035,3513397,176492176223
"6",13000,0,2016,298477,4262937,216027161792
"7",13000,1,2016,2056,100478,7456835834
"8",13000,2,2016,2746,140918,6475973317
"9",13000,3,2016,3976,401642,16057125466
"10",13000,5,2016,289699,3619899,186037227175
